,종목명,시가총액(억 원),부채율(%),배당률(%),PBR,GP/A
024830,세원물산,733,27.64,0.31,0.27,0.10045074050225371
253840,수젠텍,1509,23.28,1.48,1.2,0.2533179457587998
007700,F&F홀딩스,7822,24.44,1.15,0.58,35.5734193763734
035200,프럼파스트,357,10.73,1.39,0.85,0.12254901960784313
039440,에스티아이,1886,49.98,2.09,0.81,0.23593797506840986
003030,세아제강지주,6357,80.33,1.54,0.4,22.614148540074467
111770,영원무역,20050,44.93,3.26,0.74,29.17183622828784
049770,동원F&B,6174,134.41,2.23,0.69,41.767630448424
081580,성우전자,453,46.29,1.93,0.36,0.1141609482220836
013580,계룡건설,1522,218.91,2.75,0.22,10.50390625
199820,제일전기공업,1217,41.09,2.11,0.88,0.11268436578171091
357780,솔브레인,16607,16.97,0.92,2.16,0.3185367418975292
006570,대림통상,512,113.86,0.84,0.67,19.848661233993013
007980,태평양물산,754,258.16,1.75,0.41,25.88740987243483
004490,세방전지,7602,34.59,1.42,0.48,12.468694096601073
373200,하인크코리아,899,101.47,0.94,6.96,0.11301369863013698
356860,티엘비,1794,46.84,1.6,1.65,0.28441479684657367
095500,미래나노텍,6760,103.86,0.4,1.85,0.12397540983606557
079370,제우스,2865,119.32,1.36,0.96,0.2252163971909195
145990,삼양사,4651,92.66,3.24,0.31,14.029020884187688
068330,일신바이오,935,8.61,0.45,1.22,0.1794871794871795
126720,수산인더스트리,3121,24.65,2.73,0.69,12.803187803187804
130660,한전산업,2572,64.45,2.68,2.89,27.313054499366284
131220,대한과학,510,33.82,0.88,1.33,0.3630252100840336
005010,휴스틸,3680,32.69,6.9,0.31,26.840185676392576
217190,제너셈,949,96.96,1.47,1.11,0.30303030303030304
004780,대륙제관,697,41.95,2.33,0.52,0.14146868250539957
001040,CJ,25646,172.03,2.97,0.56,23.276755582457856
067310,하나마이크론,7149,188.61,0.54,1.41,0.12221433640880057
015750,성우하이텍,7944,152.59,2.14,0.32,0.0886960318759893
353200,대덕전자,9908,39.39,2.12,1.14,24.911897969457964
000640,동아쏘시오홀딩스,5364,73.38,1.48,0.65,17.002598902685534
011330,유니켐,1261,212.48,1.65,0.72,4.460795585191998
088130,동아엘텍,1018,44.94,3.11,0.38,0.1429503916449086
038110,에코플라스틱,2422,418.16,1.9,0.57,0.12073005302750031
161890,한국콜마,9175,99.62,1.17,1.47,15.98199979545222
010950,S-Oil,80384,131.19,6.59,1.15,21.182780896441663
064760,티씨케이,11371,15.27,1.8,2.65,0.314047866805411
072950,빛샘전자,383,22.65,0.87,0.52,0.10778443113772455
016250,SGC이테크건설,803,295.24,4.08,0.37,0.08032871083718542
054450,텔레칩스,2394,82.81,1.18,0.9,0.1824629271437782
053350,이니텍,781,5.36,0.57,0.57,0.05853658536585366
021320,KCC건설,1217,165.86,2.22,0.31,0.04665720724480427
014440,영보화학,777,13.89,1.46,0.43,11.252771618625278
241790,오션브릿지,1356,32.87,3.16,1.34,0.25872093023255816
036710,심텍홀딩스,1370,123.75,1.76,0.62,0.31671844111832814
141000,비아트론,1204,15.37,1.74,0.6,0.14680306905370843
003830,대한화섬,1497,17.2,0.64,0.21,1.7447418738049714
214680,디알텍,1384,101.84,0.0,1.45,0.3336092715231788
043650,국순당,1159,8.32,3.13,0.5,0.1422379826635146
272290,이녹스첨단소재,7275,22.0,1.49,1.52,0.3293813321836603
034590,인천도시가스,1139,111.57,4.48,0.59,16.16639092413141
001520,동양,2532,25.53,4.0,0.26,8.387555917039446
051900,LG생활건강,88555,33.54,0.55,2.36,55.00965369921538
039290,인포뱅크,1129,38.64,0.21,1.33,0.1728395061728395
007820,에스엠코어,1418,56.4,1.23,1.59,0.0746132848043676
272550,삼양패키징,2837,77.96,4.02,0.82,11.142234671646436
005440,현대지에프홀딩스,2517,45.05,3.12,0.35,20.118677592540266
026960,동서,20687,5.33,3.61,1.3,5.018735794581977
090470,제이스텍,1268,26.81,2.59,0.75,0.30530740935365214
035510,신세계 I&C,2600,32.7,3.64,0.58,16.11099606543798
005720,넥센,2232,121.8,2.68,0.21,10.683534663309992
017900,광전자,1474,8.89,2.29,0.52,9.519967728922953
002840,미원상사,7881,21.58,0.9,2.34,26.034648700673724
036890,진성티이씨,2394,92.22,2.28,1.31,0.30518996771790413
024720,한국콜마홀딩스,2689,49.25,1.9,0.5,8.636041289102515
212560,네오오토,730,59.74,1.52,0.54,0.1092436974789916
183300,코미코,4273,50.5,2.32,1.66,0.3261990716864363
036480,대성미생물,631,67.65,0.73,1.01,0.07373271889400922
015860,일진홀딩스,2210,74.7,3.93,0.42,11.462076792131644
112610,씨에스윈드,31965,92.45,0.73,3.16,7.653835347007587
002920,유성기업,825,30.5,4.49,0.24,4.613583138173302
111110,호전실업,743,133.26,3.7,0.52,30.211958241062952
025820,이구산업,1600,165.08,1.6,0.82,6.168446026097272
237690,에스티팜,15517,67.3,0.57,4.88,0.15577361135447695
339770,교촌에프앤비,2225,70.17,2.17,1.29,29.311475409836063
137950,제이씨케미칼,1690,115.24,2.41,0.99,0.19188311688311688
005950,이수화학,11603,193.0,2.75,1.6,12.658867098729063
041920,메디아나,722,14.86,0.93,0.95,0.2263056092843327
006040,동원산업,25141,142.78,2.23,0.78,21.125304480824788
046440,KG모빌리언스,2345,49.87,3.9,0.68,0.1952762547448334
226320,잇츠한불,3423,6.63,0.84,1.06,15.076100370218018
014570,고려제약,713,11.57,2.3,1.0,0.36507936507936506
347740,피엔케이피부임상연구센타,975,5.27,1.15,1.29,0.15033557046979865
002450,삼익악기,1123,100.1,3.89,0.42,12.86426380368098
007340,DN오토모티브,8025,305.79,3.9,0.73,15.957400470424252
003480,한진중공업홀딩스,1157,444.19,2.57,0.32,6.337675350701402
011560,세보엠이씨,978,140.99,6.58,0.43,0.1267255035075809
155660,DSR,827,80.26,1.08,0.44,17.192212777625446
119610,인터로조,4909,39.45,2.13,1.8,0.22896133434420016
337930,브랜드엑스코퍼레이션,1457,40.44,2.52,1.78,1.1199649737302977
265520,AP시스템,2955,102.86,1.47,1.01,0.25980660463419086
160980,싸이맥스,1363,46.69,2.59,0.8,0.16946902654867257
215360,우리산업,1633,177.83,1.14,1.44,0.05709487825356843
005670,푸드웰,533,99.97,1.67,0.58,0.11963775023832221
140070,서플러스글로벌,1333,97.5,1.43,0.68,0.15933767643865362
092780,동양피스톤,645,200.55,1.25,0.52,10.873630777451242
229640,LS전선아시아,2137,220.59,3.43,1.48,10.519044799684231
222800,심텍,8632,106.71,1.89,1.38,0.38000473821369346
142210,유니트론텍,811,167.96,2.65,0.75,0.19573643410852712
090150,아이윈,673,126.79,2.78,0.65,0.140607424071991
035080,그래디언트,2458,100.56,1.34,0.38,0.08765683282468634
001880,DL건설,3056,74.91,1.68,0.35,9.04511106022441
064820,케이프,1205,884.54,2.26,0.69,0.03430951563036757
016450,한세예스24홀딩스,1860,144.97,5.41,0.44,35.16936671575847
013120,동원개발,3210,39.8,4.68,0.3,0.08807531380753138
217500,러셀,1245,41.32,1.14,1.55,0.1211734693877551
066310,큐에스아이,897,5.81,1.06,1.07,0.08372093023255814
237880,클리오,4138,28.11,1.23,1.45,0.5530955309553095
091990,셀트리온헬스케어,119560,116.05,0.22,4.18,0.1261168230593095
332370,아이디피,509,13.56,3.3,1.19,0.36568457538994803
006620,동구바이오제약,1733,68.51,1.79,1.6,0.6856478791400349
260970,에스앤디,684,19.5,1.9,0.82,0.1864951768488746
218410,RFHIC,5799,53.76,0.45,2.04,0.08113247411789562
042670,HD현대인프라코어,19381,189.7,3.0,0.97,21.2721937213672
006360,GS건설,18057,216.39,6.15,0.37,7.592083367755184
272210,한화시스템,26524,95.43,2.37,0.98,6.419809407948095
037330,인지디스플레,910,129.56,3.04,0.39,0.1071502590673575
253590,네오셈,1195,110.04,1.04,1.91,0.21559633027522937
015360,예스코홀딩스,1968,187.06,7.94,0.36,9.789459568190962
211270,AP위성,2683,28.06,0.7,1.64,0.14089661482159194
013360,일성건설,1188,243.03,0.23,0.96,8.90394386644084
032850,비트컴퓨터,1098,17.68,0.99,1.59,0.16150740242261102
